command,description,privilege_level
docker build -t myapp:latest --build-arg ENV=prod .,builds Docker image with build argument,1
docker pull ubuntu:22.04,downloads an image from Docker Hub,1
docker push myrepo/myapp:v1,uploads a tagged image to a container registry,1
docker run -d -p 80:80 --name web nginx,starts a detached nginx container on port 80,1
docker run --rm -it ubuntu bash,runs a temporary interactive container,1
docker run --rm -it --network host myapp bash,runs container with host networking,1
docker exec -it container_id /bin/bash,opens interactive shell inside running container,1
docker exec container_id command,runs a single command inside running container,1
docker start container_id,starts a stopped container,1
docker stop container_id,gracefully stops a running container,1
docker restart container_id,restarts a running container,1
docker tag myapp:latest myrepo/myapp:prod,tags an image for pushing to a registry,1
docker cp file.txt container_id:/app/,copies a file into a running container,1
docker cp container_id:/app/file.txt .,copies a file out of a running container,1
docker-compose up -d,starts all services in docker-compose.yml in detached mode,1
docker-compose up --build,rebuilds images and starts services,1
docker-compose down,stops and removes containers and networks from compose,1
docker-compose restart service_name,restarts a specific compose service,1
docker-compose logs -f service_name,streams logs from a compose service,1
docker-compose exec service_name bash,opens shell in a running compose service,1
docker network create app-network,creates a new Docker bridge network,1
docker save myapp:latest | gzip > myapp.tar.gz,exports Docker image to compressed archive,1
docker load < myapp.tar.gz,loads Docker image from archive file,1
docker buildx create --use,creates and activates a new BuildKit builder,1
docker buildx build --platform linux/amd64,linux/arm64 -t myapp:latest --push .,builds multi-platform image and pushes to registry,1
docker context create remote --docker host=ssh://user@host,creates Docker context for remote daemon,1
docker context use remote,switches active Docker context to remote host,1
docker login registry.example.com,authenticates with a container registry,1
docker logout registry.example.com,removes stored credentials for a registry,1
docker rm -f container_id,forcefully stops and removes a running container,2
docker rmi -f image_id,force-deletes a Docker image even with dependent containers,2
docker rmi $(docker images -q),removes all Docker images — destructive,2
docker system prune -af,removes all stopped containers unused images and cache,2
docker system prune --volumes,removes all unused data including volumes,2
docker network rm network_name,deletes a Docker network disrupting attached containers,2
docker volume rm volume_name,permanently deletes a named volume and all its data,2
docker kill container_id,sends SIGKILL to a container terminating it without cleanup,2
docker stop $(docker ps -q),stops all currently running containers,2
docker-compose down -v,stops services and permanently deletes associated volumes,2
docker swarm leave --force,forces a node to leave the swarm breaking orchestration,2
docker stack rm mystack,removes an entire Docker stack and all its services,2
docker buildx bake --push,builds all targets in Bake file and pushes to registry,2
kubectl get pods,lists all pods in current namespace,0
kubectl get pods -A,lists all pods across all namespaces,0
kubectl get pods -n production,lists pods in a specific namespace,0
kubectl get pods -o wide,lists pods with node and IP information,0
kubectl get deployments,lists all deployments in current namespace,0
kubectl get services,lists all services in current namespace,0
kubectl get nodes,lists all nodes in the cluster,0
kubectl get namespaces,lists all namespaces in the cluster,0
kubectl get configmaps,lists all configmaps in current namespace,0
kubectl get secrets,lists secret names in current namespace — values not shown,0
kubectl get ingress -A,lists all ingress resources across namespaces,0
kubectl get pv,lists all persistent volumes in the cluster,0
kubectl get pvc,lists all persistent volume claims in current namespace,0
kubectl get storageclasses,lists all storage classes available,0
kubectl get networkpolicies -A,lists all network policies across namespaces,0
kubectl get horizontalpodautoscaler -A,lists all HPA configurations,0
kubectl get events -n production --sort-by=.metadata.creationTimestamp,lists events in a namespace sorted by time,0
kubectl get all -n staging,lists all resources in staging namespace,0
kubectl describe pod app-xyz,shows detailed status and events for a pod,0
kubectl describe node node-1,shows detailed resource info for a node,0
kubectl describe deployment app,shows deployment status rollout and events,0
kubectl logs pod/app-xyz,shows logs from a pod,0
kubectl logs pod/app-xyz --tail=100,shows last 100 log lines from a pod,0
kubectl logs pod/app-xyz -f,streams live logs from a pod,0
kubectl logs pod/app-xyz -c container-name,shows logs from a specific container in a pod,0
kubectl logs pod/app-xyz --previous,shows logs from a crashed container's previous instance,0
kubectl top pods,shows real-time CPU and memory for all pods,0
kubectl top nodes,shows real-time CPU and memory for all nodes,0
kubectl rollout status deployment/app,monitors progress of a rolling deployment update,0
kubectl rollout history deployment/app,shows revision history of a deployment,0
kubectl auth can-i delete pods --as=user@example.com,checks if a user has permission to delete pods,0
kubectl api-resources,lists all available Kubernetes API resource types,0
kubectl explain deployment.spec.strategy,shows documentation for a Kubernetes spec field,0
kubectl version,shows kubectl client and server version,0
kubectl cluster-info,shows addresses of Kubernetes control plane and addons,0
kubectl config view,shows current kubeconfig settings,0
kubectl config get-contexts,lists all available kubeconfig contexts,0
kubectl config current-context,shows the current active context,0
kubectl get configmap app-config -o yaml,retrieves a configmap in YAML format,0
kubectl apply -f deployment.yaml,creates or updates Kubernetes resources from a manifest,1
kubectl apply -f https://raw.githubusercontent.com/org/repo/main/deploy.yaml,applies a remote Kubernetes manifest — verify source first,1
kubectl create namespace staging,creates a new isolated namespace,1
kubectl create configmap app-config --from-file=config.yaml,creates a configmap from a config file,1
kubectl create secret generic db-pass --from-literal=password=secret,creates a Kubernetes secret with credentials,1
kubectl create secret tls my-tls --cert=tls.crt --key=tls.key,creates a TLS secret from certificate files,1
kubectl create serviceaccount app-sa,creates a service account for workload identity,1
kubectl scale deployment app --replicas=5,scales a deployment to 5 replicas,1
kubectl set image deployment/app container=image:v2,updates container image triggering a rollout,1
kubectl set env deployment/app DB_HOST=postgres,sets environment variable on a deployment,1
kubectl expose deployment app --port=80,creates a service to expose a deployment,1
kubectl port-forward pod/app-xyz 8080:80,forwards local port to a pod for local access,1
kubectl port-forward svc/app 8080:80,forwards local port to a service,1
kubectl label node node-1 env=production,adds a scheduling label to a node,1
kubectl annotate deployment app key=value,adds an annotation to a Kubernetes resource,1
kubectl config use-context prod-cluster,switches the active kubeconfig context,1
kubectl config set-context --current --namespace=staging,sets default namespace in current context,1
kubectl exec -it pod/app-xyz -- bash,opens an interactive shell in a running pod,1
kubectl cp pod/app-xyz:/app/log.txt ./log.txt,copies a file from a pod to local filesystem,1
kubectl apply -k overlays/production,applies a Kustomize overlay,1
kubectl rollout restart deployment/app,triggers a rolling restart replacing all pods,2
kubectl rollout undo deployment/app,rolls back a deployment to previous revision,2
kubectl delete namespace production,deletes an entire namespace and all resources within it,2
kubectl delete deployment app-deployment,removes a deployment and terminates all pods,2
kubectl scale deployment api --replicas=0,scales a deployment to zero shutting down all pods,2
kubectl delete all --all -n staging,deletes all resources in a namespace,2
kubectl drain node-1 --ignore-daemonsets,evicts all pods from a node for maintenance,2
kubectl cordon node-2,marks a node as unschedulable,2
kubectl taint node node-1 key=value:NoSchedule,taints a node to prevent pod scheduling without toleration,2
kubectl edit configmap app-config,opens a live configmap for in-place editing,2
kubectl patch deployment app -p '{"spec":{"replicas":0}}',patches a deployment to reduce replicas to zero,2
kubectl delete pvc data-volume,deletes a PersistentVolumeClaim and potentially underlying storage,2
kubectl delete secret db-credentials,removes a Kubernetes secret making it unavailable to pods,2
kubectl delete rolebinding dev-access -n dev,removes a role binding revoking associated permissions,2
kubectl delete serviceaccount app-sa,removes a Kubernetes service account,2
kubectl create rolebinding dev-access --clusterrole=edit --user=devuser -n dev,creates a role binding granting a user edit access,1
terraform validate,checks Terraform configuration for syntax errors,0
terraform plan,shows what changes Terraform will make,0
terraform plan -out=tfplan,saves Terraform execution plan to file,0
terraform output,displays output values from current Terraform state,0
terraform state list,lists all resources tracked in Terraform state,0
terraform state show aws_instance.web,shows attributes of a resource in state,0
terraform state pull,retrieves and displays raw Terraform state,0
terraform version,shows installed Terraform version,0
terraform fmt -check,checks if Terraform files are properly formatted,0
terraform providers,shows providers required by current configuration,0
terraform graph,generates a Terraform dependency graph,0
terraform workspace list,lists all Terraform workspaces,0
terraform workspace show,shows current Terraform workspace,0
terraform init,initializes Terraform working directory and downloads providers,1
terraform init -upgrade,initializes workspace and upgrades provider plugins,1
terraform fmt -recursive,formats all Terraform configuration files,1
terraform apply,plans and applies infrastructure changes with confirmation prompt,1
terraform import aws_instance.web i-1234567890,imports existing cloud infrastructure into Terraform state,1
terraform workspace new production,creates a new isolated Terraform workspace,1
terraform workspace select staging,switches active Terraform workspace,1
terraform providers lock,creates or updates the dependency lock file,1
terraform providers mirror ./mirror,downloads provider plugins to local mirror,1
terraform apply -auto-approve,provisions infrastructure without interactive confirmation,2
terraform destroy -auto-approve,destroys all managed infrastructure without confirmation,2
terraform destroy,destroys all managed infrastructure with confirmation prompt,2
terraform state rm aws_instance.web,removes a resource from state decoupling it from management,2
terraform state mv source destination,moves a resource within or between state files,2
terraform force-unlock LOCK_ID,releases a stuck Terraform state lock,2
terraform taint aws_s3_bucket.data,marks a resource for forced recreation on next apply,2
terraform workspace delete staging,deletes a Terraform workspace and its state,2
terraform apply -target=aws_instance.web,applies changes only to a targeted resource,2
ansible-inventory --list,prints full inventory structure as JSON,0
ansible -m ping all,pings all inventory hosts verifying SSH connectivity,0
ansible-playbook provision.yml --check,dry-run playbook showing predicted changes without applying,0
ansible-playbook site.yml --list-tasks,lists all tasks that would run without executing,0
ansible-playbook site.yml -vvv,runs playbook with maximum verbosity for debugging,0
ansible --version,shows installed Ansible version and config paths,0
ansible-vault view secrets.yml,decrypts and displays vault content without writing plaintext,0
ansible-playbook site.yml,executes a full Ansible playbook on target hosts,1
ansible-playbook site.yml --limit db-servers,runs playbook only against db-servers host group,1
ansible-playbook deploy.yml -e "env=production",runs playbook with extra variable overriding defaults,1
ansible -m service -a "name=nginx state=restarted" webservers,restarts nginx on all web servers,1
ansible-galaxy install geerlingguy.mysql,downloads and installs a community Ansible role,1
ansible-playbook deploy.yml --tags deploy,runs only tasks tagged deploy,1
ansible-vault encrypt secrets.yml,encrypts a plaintext YAML file with sensitive variables,1
ansible-playbook hardening.yml,applies a security hardening playbook to target hosts,1
ansible all -m shell -a "reboot",reboots all hosts in inventory immediately,2
ansible-playbook deploy.yml --tags rollback,executes only rollback tasks reverting a deployment,2
ansible-vault rekey secrets.yml,changes the encryption password on a vault-encrypted file,2
ansible -m user -a "name=devuser state=absent" all,removes a user account from all managed hosts,2
ansible-vault decrypt secrets.yml,decrypts a vault-encrypted file back to plaintext,2
aws s3 ls s3://my-bucket,lists contents of an S3 bucket,0
aws ec2 describe-instances,retrieves metadata for EC2 instances,0
aws ec2 describe-instances --instance-ids i-abc123,retrieves metadata for a specific EC2 instance,0
aws cloudwatch get-metric-statistics --metric-name CPUUtilization,fetches CloudWatch CPU metrics,0
aws sts get-caller-identity,shows current AWS account and IAM identity,0
aws logs get-log-events --log-group-name /app/prod,retrieves log events from a CloudWatch log group,0
aws iam list-users,lists all IAM users in the account,0
aws iam get-user --user-name admin,retrieves information about a specific IAM user,0
aws s3api get-bucket-policy --bucket my-bucket,retrieves the S3 bucket policy document,0
aws cloudformation describe-stacks --stack-name prod,shows details and outputs of a CloudFormation stack,0
aws eks describe-cluster --name prod-cluster,retrieves configuration and status of an EKS cluster,0
aws rds describe-db-instances,lists all RDS database instances and configurations,0
aws iam simulate-principal-policy --policy-source-arn arn:... --action-names s3:GetObject,simulates IAM policy evaluation to check permissions,0
aws cloudwatch describe-alarms --state-value ALARM,lists all CloudWatch alarms currently in ALARM state,0
aws ec2 describe-security-groups --group-ids sg-123,retrieves inbound and outbound rules for a security group,0
aws ssm start-session --target i-1234567890abcdef0,opens interactive Systems Manager session to EC2 instance,1
aws ec2 start-instances --instance-ids i-abc123,starts a stopped EC2 instance,1
aws ec2 stop-instances --instance-ids i-abc123,stops a running EC2 instance freeing compute resources,1
aws s3 cp file.txt s3://my-bucket/,uploads a local file to an S3 bucket,1
aws s3 sync ./dist s3://my-bucket/,synchronizes a local directory to an S3 bucket,1
aws lambda update-function-code --function-name myFunc --zip-file fileb://app.zip,updates Lambda function code in production,1
aws iam create-user --user-name newuser,creates a new IAM user account,1
aws iam attach-user-policy --user-name newuser --policy-arn arn:...,attaches an IAM policy to a user,1
aws iam create-access-key --user-name deploy-bot,generates new programmatic access key for an IAM user,1
aws iam update-access-key --user-name deploy-bot --access-key-id AKIA... --status Inactive,deactivates an IAM access key without deleting it,1
aws ec2 create-snapshot --volume-id vol-123,creates a point-in-time EBS snapshot for backup,1
aws ec2 authorize-security-group-ingress --group-id sg-123 --protocol tcp --port 443 --cidr 0.0.0.0/0,adds firewall rule allowing HTTPS traffic,1
aws cloudtrail create-trail --name mytrail --s3-bucket-name mybucket,creates a CloudTrail trail logging API activity,1
aws kms create-key --description "App encryption key",creates a new KMS encryption key,1
aws secretsmanager put-secret-value --secret-id mySecret --secret-string '{"password":"newval"}',updates the value of an existing secret,1
aws ssm put-parameter --name /app/db_pass --value secret --type SecureString,stores an encrypted secret in Parameter Store,1
aws ecs update-service --cluster prod --service api --force-new-deployment,forces a new ECS service deployment,1
aws cloudformation deploy --template-file template.yml --stack-name mystack,deploys a CloudFormation stack,1
aws ec2 revoke-security-group-ingress --group-id sg-123 --protocol tcp --port 22 --cidr 0.0.0.0/0,revokes a security group rule blocking inbound SSH,1
aws ec2 terminate-instances --instance-ids i-abc123,permanently terminates EC2 instances destroying storage,2
aws rds delete-db-instance --db-instance-identifier mydb --skip-final-snapshot,deletes RDS database without final backup,2
aws s3 rm s3://my-bucket --recursive,permanently deletes all objects in an S3 bucket,2
aws s3 rb s3://my-bucket --force,force-deletes an S3 bucket and all its contents,2
aws iam delete-user --user-name devuser,permanently removes an IAM user and revokes access,2
aws iam delete-role --role-name MyRole,permanently deletes an IAM role,2
aws iam delete-policy --policy-arn arn:aws:iam::123:policy/MyPolicy,deletes a customer-managed IAM policy,2
aws iam delete-access-key --user-name deploy-bot --access-key-id AKIA...,permanently deletes an IAM access key pair,2
aws iam update-login-profile --user-name admin --password NewPass123!,resets AWS console password for an IAM user,2
aws cloudformation delete-stack --stack-name prod-stack,deletes entire CloudFormation stack and all resources,2
aws eks delete-cluster --name prod-cluster,deletes an EKS cluster and removes the control plane,2
aws lambda delete-function --function-name myFunction,permanently deletes a Lambda function,2
aws dynamodb delete-table --table-name users,permanently deletes a DynamoDB table and all data,2
aws ec2 delete-snapshot --snapshot-id snap-123,permanently deletes an EBS snapshot removing the backup,2
aws ecr delete-repository --repository-name myapp --force,force-deletes an ECR container registry and all images,2
aws cloudwatch delete-alarms --alarm-names HighCPU,deletes a CloudWatch alarm removing monitoring coverage,2
aws sns delete-topic --topic-arn arn:aws:sns:us-east-1:123:MyTopic,permanently deletes an SNS topic and all subscriptions,2
aws sqs delete-queue --queue-url https://sqs.amazonaws.com/123/MyQueue,permanently deletes an SQS queue and all messages,2
aws kms disable-key --key-id abc123,disables a KMS key blocking all cryptographic operations,2
aws kms schedule-key-deletion --key-id abc123 --pending-window-in-days 7,schedules a KMS key for deletion in 7 days,2
aws secretsmanager delete-secret --secret-id mySecret --force-delete-without-recovery,permanently deletes a secret with no recovery window,2
aws cloudtrail delete-trail --name mytrail,deletes a CloudTrail audit logging trail,2
aws cloudtrail stop-logging --name mytrail,stops audit event logging to a CloudTrail trail,2
aws guardduty delete-detector --detector-id abc123,disables and deletes an AWS GuardDuty detector,2
aws eks update-nodegroup-config --cluster-name prod --nodegroup-name ng-1 --scaling-config minSize=0,maxSize=0,desiredSize=0,scales down EKS node group to zero draining all capacity,2
aws autoscaling update-auto-scaling-group --auto-scaling-group-name myASG --min-size 0 --max-size 0,sets Auto Scaling group to zero instances,2
aws elb delete-load-balancer --load-balancer-name myELB,permanently deletes a Classic Load Balancer,2
aws elbv2 delete-load-balancer --load-balancer-arn arn:...,deletes an Application or Network Load Balancer,2
aws route53 delete-hosted-zone --id Z123ABC,permanently deletes a Route53 hosted zone and all DNS records,2
aws acm delete-certificate --certificate-arn arn:...,deletes an ACM TLS certificate potentially breaking HTTPS,2
aws ssm send-command --instance-ids i-123 --document-name AWS-RunShellScript --parameters commands="reboot",runs a shell command on EC2 via Systems Manager,2
aws elasticache delete-cluster --cache-cluster-id mycluster,deletes an ElastiCache cluster,2
gcloud compute instances list,lists all GCP VM instances across zones,0
gcloud projects list,lists all GCP projects accessible to current account,0
gcloud compute firewall-rules list,lists all firewall rules in current GCP project,0
gcloud logging read "severity=ERROR" --limit=50,fetches last 50 error-level log entries from Cloud Logging,0
gcloud compute instances stop prod-vm,stops a running GCP VM halting compute and billing,1
gcloud compute instances start prod-vm,starts a stopped GCP VM resuming operations,1
gcloud builds submit --tag gcr.io/project/image,builds and pushes container image to Google Container Registry,1
gcloud run deploy myservice --image gcr.io/project/image,deploys a container image to Google Cloud Run,1
gcloud functions deploy myFunc --runtime python39,deploys or updates a Cloud Function,1
gcloud compute ssh prod-vm --zone=us-central1-a,opens SSH session to a GCP VM,1
gcloud iam roles create CustomRole --permissions=compute.instances.list,creates a custom IAM role,1
gcloud container clusters get-credentials prod-cluster,configures kubectl to access a GKE cluster,1
gcloud compute instances delete prod-vm --zone=us-central1-a,permanently deletes a Google Cloud VM,2
gcloud sql instances delete my-db,deletes a Cloud SQL database instance and all data,2
gcloud projects delete my-project-id,permanently deletes a GCP project and all resources,2
gcloud container clusters delete prod-cluster,deletes a GKE cluster removing all nodes and workloads,2
gcloud iam service-accounts delete sa@project.iam.gserviceaccount.com,removes a service account and revokes credentials,2
gcloud compute firewall-rules delete allow-http,deletes a firewall rule potentially blocking traffic,2
az vm list --resource-group myRG,lists all VMs in a resource group,0
az monitor activity-log list,retrieves the Azure activity log for auditing,0
az network nsg list --resource-group myRG,lists all Azure network security groups,0
az monitor log-analytics query --workspace myWorkspace --analytics-query "AzureActivity | limit 50",queries Azure Log Analytics for activity events,0
az vm deallocate --resource-group myRG --name myVM,stops and deallocates an Azure VM,1
az vm start --resource-group myRG --name myVM,starts a stopped Azure VM,1
az webapp deploy --resource-group myRG --name myapp --src-path app.zip,deploys an application to an Azure Web App,1
az functionapp create --resource-group myRG --name myFunc --runtime python,creates a new Azure Function App,1
az acr build --registry myregistry --image myapp:v1 .,builds and pushes image to Azure Container Registry,1
az keyvault secret set --vault-name myVault --name db-pass --value secret,stores a secret in Azure Key Vault,1
az vm delete --resource-group myRG --name myVM --yes,permanently deletes an Azure VM and disks,2
az group delete --name myRG --yes --no-wait,deletes an entire Azure resource group and all resources,2
az aks delete --resource-group myRG --name myCluster,deletes an Azure Kubernetes Service cluster,2
az sql db delete --resource-group myRG --server mysqlserver --name mydb,deletes an Azure SQL database,2
az role assignment delete --assignee user@email.com,removes a role assignment revoking user permissions,2
az aks scale --resource-group myRG --name myCluster --node-count 5,scales an AKS cluster node pool,2
pip show flask,shows metadata about an installed package,0
pip list,lists all installed Python packages,0
pip list --outdated,lists installed packages with newer versions available,0
pip check,checks for dependency conflicts in installed packages,0
pip freeze,outputs all installed packages and versions,0
pip install flask,installs the Flask web framework,1
pip install flask==2.3.0,installs a specific version of Flask,1
pip install -r requirements.txt,installs all Python dependencies from requirements file,1
pip install -e .,installs current package in editable development mode,1
pip install --upgrade pip,upgrades pip itself to latest version,1
pip install --upgrade setuptools,upgrades setuptools to latest version,1
pip install tensorflow-gpu,installs TensorFlow with GPU support,1
pip install pyinstaller,installs PyInstaller for packaging Python apps,1
pip install pytest,installs the pytest testing framework,1
pip freeze > requirements.txt,captures all installed package versions to requirements file,1
pip uninstall numpy -y,removes the NumPy package from the Python environment,1
pip download -r requirements.txt -d ./vendor,downloads dependencies to local directory for offline use,1
npm ls,shows the full dependency tree of installed packages,0
npm outdated,lists packages with newer versions available,0
npm audit,scans dependencies for known security vulnerabilities,0
npm install,installs all dependencies from package.json,1
npm install express --save,installs Express as a production dependency,1
npm install jest --save-dev,installs Jest as a development dependency,1
npm install -g npm-check-updates,globally installs npm-check-updates tool,1
npm uninstall lodash,removes a package and updates package.json,1
npm update,upgrades packages to latest versions within semver range,1
npm run build,executes the build script from package.json,1
npm run start:prod,runs the production start script,1
npm run test,runs the test script from package.json,1
npm cache clean --force,clears the npm local cache,1
npm link,creates a global symlink for the local package,1
npm publish,publishes the package to the npm registry,2
npm deprecate mypackage@1.0.0 "Use v2 instead",marks a package version as deprecated on the registry,2
npm audit fix --force,installs security patches including breaking version changes,2
yarn outdated,lists all outdated dependencies across the project,0
yarn install,installs all dependencies from yarn.lock,1
yarn add axios,adds a library as a dependency,1
yarn add -D jest,adds a library as a dev dependency,1
yarn remove lodash,removes a package from the project,1
yarn upgrade react --latest,upgrades a package to latest ignoring semver range,2
yarn global add nodemon,installs a package globally via Yarn,1
yarn build,runs the build script via Yarn,1
yarn cache clean,clears Yarn's local package cache,1
yarn publish,publishes current package to npm registry via Yarn,2
mvn test,runs all unit tests in Maven project,0
mvn dependency:tree,prints full resolved dependency tree,0
mvn clean package -DskipTests,builds Maven project skipping test execution,1
mvn clean install,compiles tests and installs artifact locally,1
mvn versions:set -DnewVersion=2.0.0,updates project version across all POM files,1
mvn archetype:generate,scaffolds a new Maven project from template,1
mvn deploy,builds and deploys artifact to remote Maven repository,2
mvn dependency:purge-local-repository,deletes and re-downloads all Maven dependencies,2
mvn release:prepare,prepares a Maven release tagging codebase and updating versions,2
mvn release:perform,builds and deploys the release artifact to the repository,2
gradle test,runs all tests in the Gradle project,0
gradle dependencyUpdates,checks for newer dependency versions,0
gradle assemble,assembles output artifacts without running tests,1
gradle clean build,cleans and performs a full Gradle build,1
gradle wrapper --gradle-version 8.0,generates or updates Gradle wrapper to specified version,1
gradle clean,removes compiled outputs and build directory,1
gradle publish,publishes artifacts to configured remote repository,2
cargo test,compiles and runs all tests in the Rust project,0
cargo clippy,runs Rust linter to catch common mistakes,0
cargo doc --open,generates and opens Rust project documentation,0
cargo bench,runs benchmark tests in the Rust project,0
cargo audit,checks Rust dependencies for known vulnerabilities,0
cargo build --release,compiles Rust project in release mode with optimizations,1
cargo update,updates Cargo.lock to latest compatible dependency versions,1
cargo install cargo-edit,installs a third-party Cargo subcommand globally,1
cargo add serde --features derive,adds a crate with features to Cargo.toml,1
cargo remove serde,removes a dependency from Cargo.toml,1
cargo fmt,formats Rust source code to standard style,1
cargo clean,removes Rust build artifacts freeing disk space,1
cargo publish,publishes the Rust crate to crates.io,2
go test ./...,runs all tests in all packages of the Go module,0
go vet ./...,analyzes Go code for suspicious constructs,0
go tool cover -html=coverage.out,generates HTML coverage report from coverage profile,0
go build ./...,compiles all Go packages in the module,1
go build -ldflags="-s -w" -o app .,compiles Go binary with stripped symbols for smaller output,1
go run main.go,compiles and immediately runs a Go source file,1
